n,m,L,micros,ms,z,lb,percent
20,5,100,5067953,5067,1495,1121,0.333631
20,5,100,5261001,5261,1651,1207,0.367854
20,5,100,5206320,5206,1374,1000,0.374
20,5,100,5229743,5229,1663,1177,0.412914
20,5,100,5572164,5572,1585,1107,0.431798
20,5,100,5782310,5782,1500,1122,0.336898
20,5,100,5995768,5995,1516,1152,0.315972
20,5,100,9116701,9116,1544,1097,0.407475
20,5,100,9986603,9986,1576,1138,0.384886
20,5,100,6421396,6421,1432,1009,0.419227
20,10,100,9233969,9233,2065,1178,0.752971
20,10,100,9805310,9805,2191,1177,0.861512
20,10,100,9721081,9721,1995,1217,0.639277
20,10,100,9529663,9529,1863,1071,0.739496
20,10,100,11081217,11081,1876,1154,0.62565
20,10,100,10494468,10494,1842,1099,0.676069
20,10,100,9937886,9937,1920,1194,0.60804
20,10,100,10135648,10135,1945,1108,0.755415
20,10,100,9418244,9418,2062,1251,0.648281
20,10,100,9522575,9522,2167,1158,0.87133
20,20,100,18541751,18541,3033,1217,1.492194
20,20,100,26614990,26614,2793,1084,1.576568
20,20,100,18662607,18662,3031,1159,1.615186
20,20,100,17997371,17997,3027,1226,1.469005
20,20,100,18481984,18481,2971,1188,1.500842
20,20,100,17458044,17458,2887,1218,1.370279
20,20,100,17633788,17633,3014,1175,1.565106
20,20,100,18301015,18301,2925,1288,1.270963
20,20,100,18055318,18055,2981,1183,1.519865
20,20,100,17793861,17793,2867,1223,1.344235
50,5,100,24141434,24141,3093,2674,0.156694
50,5,100,21749002,21749,3471,2742,0.265864
50,5,100,21846012,21846,3145,2551,0.23285
50,5,100,22588007,22588,3367,2679,0.256812
50,5,100,22072501,22072,3358,2784,0.206178
50,5,100,21501681,21501,3458,2744,0.260204
50,5,100,21932969,21932,3350,2625,0.27619
50,5,100,22759986,22759,3269,2650,0.233585
50,5,100,22851397,22851,3042,2469,0.232078
50,5,100,22010124,22010,3395,2718,0.24908
50,10,100,42458532,42458,3959,2730,0.450183
50,10,100,45240873,45240,3779,2538,0.488968
50,10,100,41189308,41189,3694,2683,0.376817
50,10,100,41943316,41943,3997,2784,0.435704
50,10,100,41322789,41322,4009,2718,0.474982
50,10,100,40910573,40910,3952,2694,0.466964
50,10,100,43272521,43272,4055,2779,0.459158
50,10,100,40264372,40264,4023,2780,0.447122
50,10,100,45971171,45971,3843,2653,0.448549
50,10,100,43454237,43454,4079,2763,0.476294
50,20,100,85987286,85987,5246,2897,0.810839
50,20,100,83283652,83283,5066,2894,0.750518
50,20,100,87008735,87008,5000,2751,0.817521
50,20,100,82115434,82115,5274,2800,0.883571
50,20,100,82773226,82773,4984,2793,0.784461
50,20,100,80533381,80533,5094,2918,0.745716
50,20,100,87700542,87700,5080,2876,0.766342
50,20,100,94153372,94153,5063,2813,0.799858
50,20,100,92097276,92097,5173,2912,0.776442
50,20,100,75479506,75479,5271,2829,0.863203
100,5,100,79029215,79029,6422,5381,0.193458
100,5,100,76960752,76960,6256,5162,0.211933
100,5,100,74169743,74169,6184,5108,0.21065
100,5,100,80852011,80852,5944,4935,0.204458
100,5,100,78520492,78520,6148,5174,0.188249
100,5,100,78715651,78715,5974,5032,0.187202
100,5,100,81120477,81120,6139,5181,0.184906
100,5,100,81907243,81907,5952,5003,0.189686
100,5,100,77601948,77601,6385,5363,0.190565
100,5,100,75191022,75191,6322,5254,0.203274
100,10,100,141185437,141185,7277,5636,0.291164
100,10,100,144477790,144477,6749,5182,0.302393
100,10,100,144824640,144824,7143,5500,0.298727
100,10,100,150181072,150181,7493,5539,0.352771
100,10,100,142904332,142904,7083,5290,0.338941
100,10,100,151690471,151690,6576,5114,0.285882
100,10,100,149989633,149989,7051,5401,0.305499
100,10,100,143340719,143340,7098,5333,0.330958
100,10,100,143422831,143422,7257,5566,0.303809
100,10,100,145766362,145766,7070,5576,0.267934
100,20,100,273755246,273755,8566,5357,0.599029
100,20,100,276336596,276336,8534,5500,0.551636
100,20,100,266448825,266448,8583,5536,0.550397
100,20,100,268423702,268423,8433,5614,0.502138
100,20,100,272693044,272693,8617,5445,0.582553
100,20,100,276626589,276626,8587,5584,0.537787
100,20,100,281770908,281770,8676,5507,0.575449
100,20,100,282321025,282321,8948,5472,0.635234
100,20,100,266717664,266717,8689,5395,0.610565
100,20,100,272798598,272798,8700,5772,0.507277
200,10,100,519615217,519615,13175,10616,0.241051
200,10,100,546759948,546759,12682,10230,0.239687
200,10,100,545000106,545000,13273,10699,0.240583
200,10,100,529267676,529267,12868,10647,0.208603
200,10,100,542335185,542335,13089,10313,0.269175
200,10,100,544781473,544781,12566,10124,0.241209
200,10,100,519761929,519761,13280,10612,0.251413
200,10,100,552345945,552345,13095,10480,0.249523
200,10,100,542057300,542057,12705,10259,0.238425
200,10,100,535210915,535210,12894,10451,0.233758
200,20,100,1086805379,1086805,14667,10498,0.397123
200,20,100,1025908616,1025908,14952,10445,0.431498
200,20,100,1033681200,1033681,14948,10642,0.404623
200,20,100,1009102403,1009102,14980,10616,0.411078
200,20,100,1047040026,1047040,14554,10674,0.3635
200,20,100,1028383625,1028383,14592,10653,0.369755
200,20,100,1301906900,1301906,15146,10764,0.407098
200,20,100,1822095531,1822095,15078,10597,0.422856
200,20,100,1822844521,1822844,14869,10384,0.431914
200,20,100,1802468579,1802468,15072,10607,0.420948
500,20,100,1913338412,1913338,33348,25464,0.309614
500,20,100,1844159099,1844159,34141,25898,0.318287
500,20,100,1939699162,1939699,33855,25789,0.312769
500,20,100,1875120901,1875120,33689,25903,0.300583
500,20,100,1962302934,1962302,33588,25693,0.307282
500,20,100,1805847195,1805847,33655,25841,0.302388
500,20,100,1859444787,1859444,33697,25793,0.30644
500,20,100,1806792019,1806792,33956,26012,0.305398
500,20,100,1844940624,1844940,33094,25405,0.302657
